1102394	16	667	4
1187304	3	52	1
1363700	16	667	4
1449032	15	613	4
279658	15	613	4
1343934	17	710	4
1515950	17	710	4
1767836	30	846	5
2059961	36	804	5
947415	17	710	4
1003120	16	691	4
1353153	16	691	4
177221	16	691	4
955294	16	691	4
1964353	29	786	5
400052	29	786	5
1175281	9	796	4
1244133	9	796	4
166250	9	796	4
186760	9	796	4
633804	9	796	4
1175122	10	675	4
57612	10	675	4
1584822	29	743	5
1772512	25	743	3
2081604	29	743	5
1479633	19	687	0
203344	19	687	0
916188	19	687	0
1088533	32	687	5
122907	24	725	3
1248154	24	724	3
1561606	7	462	2
1760095	24	725	3
1800062	7	462	2
479895	7	462	2
546321	24	724	3
1735326	35	806	5
2065881	23	750	3
838026	27	814	5
854341	35	806	5
1281274	13	411	2
488095	13	411	2
864833	13	411	2
1202957	31	763	5
1406469	31	763	5
1475524	30	783	5
1743218	30	783	5
1994315	31	763	5
352434	27	776	5
1490658	13	630	4
1557119	13	630	4
1693328	13	630	4
670536	29	781	5
727222	29	780	5
1368028	17	727	3
246035	17	727	3
758460	17	727	3
962457	17	727	3
1140651	18	697	0
836400	18	697	0
1201079	13	681	4
1685011	13	681	4
20448	13	681	4
2066972	13	681	4
1295719	16	711	4
1765880	16	711	4
639148	16	711	4
910911	16	711	4
1584703	17	656	4
1646290	17	656	4
119370	16	679	4
1554434	16	679	4
639730	16	679	4
1596977	25	677	0
73832	25	677	0
868222	21	629	0
976932	21	629	0
1086053	23	716	3
2080257	23	716	3
1426390	10	599	4
1777410	10	599	4
40960	14	545	2
517013	14	545	2
686125	14	545	2
464866	12	481	2
599804	12	481	2
616452	12	481	2
674176	12	481	2
678246	13	698	4
982738	13	698	4
96504	15	751	4
704292	9	380	1
1118117	9	361	1
1265366	9	361	1
1287457	9	361	1
378875	9	361	1
1458508	13	521	2
543291	13	521	2
1135770	11	404	1
1333518	11	404	1
347770	11	404	1
957036	11	404	1
1046688	17	684	4
108423	17	684	4
1499757	17	684	4
1619784	17	684	4
969502	17	684	4
549068	14	454	2
382933	15	633	4
971995	15	633	4
628480	16	565	2
84210	16	565	2
869045	16	565	2
1173915	19	702	3
1583686	19	702	3
163738	19	702	3
2060504	19	702	3
266580	19	702	3
515271	15	660	4
551928	19	702	3
750163	15	660	4
160360	25	656	0
2061906	25	656	0
612957	25	656	0
950113	25	656	0
1288335	17	652	4
1382854	17	652	4
1736872	17	652	4
